Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Average MPG
1.0,0.35306553911205074,0.75,0.25,1.0,0.8985507246376812,0.5,0.9333333333333333,13.0
1.0,0.35306553911205074,0.75,0.25,1.0,0.9565217391304348,0.0,0.4,14.0
1.0,0.35306553911205074,0.75,0.25,1.0,0.8985507246376812,0.5,0.5333333333333333,13.0
0.8571428571428571,0.5042283298097252,0.75,0.0,1.0,0.43478260869565216,0.5,0.5333333333333333,12.5
0.8571428571428571,0.6194503171247357,0.5,0.0,1.0,0.43478260869565216,0.0,0.5333333333333333,19.0
0.8571428571428571,0.6194503171247357,0.5,0.0,1.0,0.43478260869565216,0.0,0.4,19.0
0.8571428571428571,0.5073995771670191,0.75,0.25,1.0,0.9130434782608696,0.5,0.9333333333333333,16.5
0.8571428571428571,0.2748414376321353,0.375,0.25,1.0,0.9565217391304348,0.5,0.9333333333333333,24.0
0.8571428571428571,0.41226215644820297,0.5,0.25,1.0,0.9130434782608696,0.5,0.9333333333333333,20.5
0.8571428571428571,0.28012684989429176,0.375,0.25,1.0,0.9565217391304348,0.5,0.9333333333333333,25.0
0.8571428571428571,0.41226215644820297,0.5,0.25,0.0,0.9130434782608696,0.5,0.9333333333333333,20.5
